\fixlen = T
\RowsRetrieved = 5428
\QUERY_STATUS = 'OK'
\ in_row_id
\ in_ra
\ in_dec
\ scan_id
\ ___ scan ID
\ scangrp
\ ___ scan group ID
\ frame_num
\ ___ frame number in scan
\ band
\ ___ WISE band number
\ qual_frame
\ ___ quality score value for frame
\ moon_sep
\ ___ distance from frame center to moon
\ dtanneal
\ ___ time since last anneal
\ saa_sep
\ ___ distance from frame center to SAA boundary
\ unixt
\ date_obs
\ ___ date and time of mid-point of frame observation, UTC
|in_row_id|             in_ra|             in_dec|scan_id|scangrp|frame_num|band|qual_frame|          moon_sep|          dtanneal|              saa_sep|             unixt|               date_obs|               fname               |
|      int|            double|             double|   char|   char|      int| int|       int|            double|            double|               double|            double|                   char|               char                |
|         |                  |                   |       |       |         |    |          |                  |                  |                     |                  |                       |                                   |
|     null|              null|               null|   null|   null|     null|null|      null|              null|              null|                 null|              null|                   null|               null                |
         1 58.770299999999999 -38.195140000000002  78654a      4a        55    2         10 116.60599999999999             999999    80.436000000000007 1484641678.6099999 2017-01-17 08:27:58.608           78654a055-w2-int-1b.fits 
         1 58.770299999999999 -38.195140000000002  78658a      8a        55    2         10            117.491             999999    74.602999999999994      1484652999.72 2017-01-17 11:36:39.716           78658a055-w2-int-1b.fits 
         1 58.770299999999999 -38.195140000000002  78662a      2a        56    2         10 118.36199999999999             999999    39.338000000000001 1484664320.8199999 2017-01-17 14:45:20.822           78662a056-w2-int-1b.fits 
         1 58.770299999999999 -38.195140000000002  78666a      6a        55    2         10             118.73             999999    10.162000000000001 1484675630.9300001 2017-01-17 17:53:50.927           78666a055-w2-int-1b.fits 
         1 58.770299999999999 -38.195140000000002  78666a      6a        56    2         10            119.223             999999    9.6940000000000008 1484675641.9300001 2017-01-17 17:54:01.927           78666a056-w2-int-1b.fits 
         1 58.770299999999999 -38.195140000000002  78677a      7a        31    2         10            120.703             999999    14.449999999999999       1484703928.2 2017-01-18 01:45:28.197           78677a031-w2-int-1b.fits 
         1 58.770299999999999 -38.195140000000002  78681a      1a        32    2         10            121.501             999999    50.070999999999998       1484715249.3 2017-01-18 04:54:09.303           78681a032-w2-int-1b.fits 
         1 58.770299999999999 -38.195140000000002  78682a      2a        55    2         10 121.47499999999999             999999    65.653000000000006 1484720904.3499999 2017-01-18 06:28:24.349           78682a055-w2-int-1b.fits 
         1 58.770299999999999 -38.195140000000002  78685a      5a        31    2          5            121.741             999999    78.168000000000006 1484726559.4000001 2017-01-18 08:02:39.400           78685a031-w2-int-1b.fits 
         1 58.770299999999999 -38.195140000000002  78685a      5a        32    2          5            122.291             999999    78.894000000000005 1484726570.4000001 2017-01-18 08:02:50.400           78685a032-w2-int-1b.fits 
         1 58.770299999999999 -38.195140000000002  78686a      6a        54    2         10            121.699             999999    85.787999999999997      1484732214.46 2017-01-18 09:36:54.455           78686a054-w2-int-1b.fits 
         1 58.770299999999999 -38.195140000000002  78686a      6a        56    2         10            122.252             999999    86.298000000000002      1484732225.45 2017-01-18 09:37:05.455           78686a056-w2-int-1b.fits 
         1 58.770299999999999 -38.195140000000002  78689a      9a        31    2         10            122.503             999999    79.069999999999993      1484737880.51 2017-01-18 11:11:20.510           78689a031-w2-int-1b.fits 
         1 58.770299999999999 -38.195140000000002  78690b      0b        55    2         10            122.452             999999    62.097999999999999 1484743535.5599999 2017-01-18 12:45:35.560           78690b055-w2-int-1b.fits 
         1 58.770299999999999 -38.195140000000002  78690b      0b        56    2         10 123.01600000000001             999999    62.106000000000002 1484743546.5599999 2017-01-18 12:45:46.565           78690b056-w2-int-1b.fits 
         1 58.770299999999999 -38.195140000000002  78693a      3a        31    2         10             123.25             999999    44.155000000000001 1484749201.6099999 2017-01-18 14:20:01.615           78693a031-w2-int-1b.fits 
         1 58.770299999999999 -38.195140000000002  78694a      4a        55    2         10            123.199             999999                26.477      1484754856.72 2017-01-18 15:54:16.719           78694a055-w2-int-1b.fits 
         1 58.770299999999999 -38.195140000000002  78697a      7a        31    2          5            123.402             999999                12.913      1484760511.77 2017-01-18 17:28:31.774           78697a031-w2-int-1b.fits 
         1 58.770299999999999 -38.195140000000002  78697a      7a        32    2         10 123.98399999999999             999999    12.212999999999999      1484760522.77 2017-01-18 17:28:42.774           78697a032-w2-int-1b.fits 
         1 58.770299999999999 -38.195140000000002  78698a      8a        54    2         10 123.33799999999999             999999    2.3199999999999998 1484766166.8199999 2017-01-18 19:02:46.825           78698a054-w2-int-1b.fits 
