\fixlen = T
\RowsRetrieved = 5428
\QUERY_STATUS = 'OK'
\ in_row_id
\ in_ra
\ in_dec
\ scan_id
\ ___ scan ID
\ scangrp
\ ___ scan group ID
\ frame_num
\ ___ frame number in scan
\ band
\ ___ WISE band number
\ qual_frame
\ ___ quality score value for frame
\ moon_sep
\ ___ distance from frame center to moon
\ dtanneal
\ ___ time since last anneal
\ saa_sep
\ ___ distance from frame center to SAA boundary
\ unixt
\ date_obs
\ ___ date and time of mid-point of frame observation, UTC
|in_row_id|             in_ra|             in_dec|scan_id|scangrp|frame_num|band|qual_frame|          moon_sep|          dtanneal|              saa_sep|             unixt|               date_obs|               fname               |
|      int|            double|             double|   char|   char|      int| int|       int|            double|            double|               double|            double|                   char|               char                |
|         |                  |                   |       |       |         |    |          |                  |                  |                     |                  |                       |                                   |
|     null|              null|               null|   null|   null|     null|null|      null|              null|              null|                 null|              null|                   null|               null                |
         1 58.770299999999999 -38.195140000000002  95822a      2a       229    1         10 58.298773542874201             999999   0.28433000000000003   1533190807.91801 2018-08-02 06:20:07.918           95822a229-w1-int-1b.fits 
         1 58.770299999999999 -38.195140000000002  95832a      2a       204    1          5 56.474497863293102             999999    20.816437000000001 1533219072.0139899 2018-08-02 14:11:12.014           95832a204-w1-int-1b.fits 
         1 58.770299999999999 -38.195140000000002  95832a      2a       205    1          5 57.058494477417398             999999             21.039593 1533219083.0179901 2018-08-02 14:11:23.018           95832a205-w1-int-1b.fits 
         1 58.770299999999999 -38.195140000000002  95834a      4a       229    1         10 56.414350992975102             999999    40.344327999999997   1533224727.02898 2018-08-02 15:45:27.029           95834a229-w1-int-1b.fits 
         1 58.770299999999999 -38.195140000000002  95834a      4a       230    1          5 57.000985101416497             999999    40.404223999999999   1533224738.03299 2018-08-02 15:45:38.033           95834a230-w1-int-1b.fits 
         1 58.770299999999999 -38.195140000000002  95836a      6a       204    1         10 56.101700570224502             999999    59.366176000000003   1533230382.05198 2018-08-02 17:19:42.052           95836a204-w1-int-1b.fits 
         1 58.770299999999999 -38.195140000000002  95836a      6a       205    1         10 56.697152146207401             999999    59.318066999999999     1533230393.052 2018-08-02 17:19:53.052           95836a205-w1-int-1b.fits 
         1 58.770299999999999 -38.195140000000002  95838a      8a       229    1          5 56.052743541482002             999999    75.872479999999996 1533236037.0710001 2018-08-02 18:53:57.071           95838a229-w1-int-1b.fits 
         1 58.770299999999999 -38.195140000000002  95838a      8a       230    1          5 56.650702919678999             999999             75.465474 1533236048.0710199 2018-08-02 18:54:08.071           95838a230-w1-int-1b.fits 
         1 58.770299999999999 -38.195140000000002  95840a      0a       203    1         10   55.1489276040353             999999             88.185378 1533241681.0899899 2018-08-02 20:28:01.090           95840a203-w1-int-1b.fits 
         1 58.770299999999999 -38.195140000000002  95840a      0a       204    1          5 55.754572097041198             999999    87.580888000000002 1533241692.0939901 2018-08-02 20:28:12.094           95840a204-w1-int-1b.fits 
         1 58.770299999999999 -38.195140000000002  95842a      2a       228    1         10   55.1083216669184             999999    91.758790000000005     1533247336.109 2018-08-02 22:02:16.109           95842a228-w1-int-1b.fits 
         1 58.770299999999999 -38.195140000000002  95842a      2a       229    1         10 55.716411086292098             999999    91.201794000000007   1533247347.10899 2018-08-02 22:02:27.109           95842a229-w1-int-1b.fits 
